Country,Continent,Happiness,GDP_pc,Life_exp,Pop(m)
Afghanistan,ASIAP,3.632,601.252,60.5,2.878
Albania,AFR,4.586,5319.279,77.8,43.851
Algeria,AFR,5.295,4669.224,75.6,43.851
Angola,AFR,3.795,4114.539,52.4,32.866
Argentina,AMER,6.388,14043.675,76.3,45.196
Armenia,EUR,4.321,4022.1,74.8,2.963
Australia,ASIAP,7.272,59655.413,82.8,25.499
Austria,EUR,7.139,53764.128,81.5,9.006
Azerbaijan,ASIAP,5.201,4575.776,72.7,10.139
Bahrain,ASIAP,6.105,25546.88,76.9,1.701
Bangladesh,ASIAP,4.5,1733.513,71.8,164.689
Belarus,EUR,5.483,6300.587,72.3,9.449
Belgium,EUR,6.927,49271.967,81.1,11.589
Belize,AFR,5.956,4830.014,70.1,0.397
Benin,AFR,4.141,966.363,60,12.123
Bhutan,ASIAP,5.082,3117.847,69.8,0.771
Bolivia,AMER,5.752,3621.795,70.7,11.673
Bosnia and Herzegovina,EUR,5.129,5805.516,77.4,3.28
Botswana,AFR,3.59,8443.106,65.7,2.351
Brazil,AMER,6.419,10224.028,75,212.559
Bulgaria,EUR,4.933,9226.602,74.5,6.948
Burkina Faso,AFR,4.424,750.625,59.9,20.903
Burundi,AFR,2.905,339.894,59.6,11.89
Cambodia,ASIAP,4.433,1498.816,68.7,16.718
Cameroon,AFR,4.975,1570.227,57.3,26.545
Canada,AMER,7.328,48466.329,82.2,37.742
Central African Republic,AFR,3.083,425.964,52.5,4.829
Chad,AFR,4.301,919.603,53.1,16.425
Chile,AMER,6.476,15087.311,80.5,19.116
China,ASIAP,5.246,10087.827,76.1,1439.323
Colombia,AMER,6.26,6581.387,74.8,50.882
Republic of the Congo,AFR,4.559,2349.676,64.7,5.518
Democratic Rep of the Congo,AFR,4.245,477.782,59.8,89.56
Costa Rica,AMER,7.072,12188.707,79.6,5.094
Croatia,EUR,5.321,14788.357,78,4.105
Cyprus,EUR,5.762,28682.363,80.5,1.207
Czech Republic,EUR,6.711,23749.531,78.8,10.708
Denmark,EUR,7.555,63829.704,80.6,5.792
Dominican Republic,AMER,5.302,7830.202,73.9,10.847
Ecuador,AMER,5.973,6263.192,76.2,17.643
Egypt,AFR,4.419,2501,70.9,102.334
El Salvador,AMER,6.167,4596.227,73.5,6.486
Estonia,EUR,5.739,23610.453,77.6,1.326
Ethiopia,AFR,4.35,909.985,64.8,114.963
Finland,EUR,7.632,52422.304,81.1,5.54
France,EUR,6.489,44933.907,82.4,65.273
Gabon,AFR,4.758,9029.672,66,2.225
Georgia,EUR,4.34,4370.177,74.4,3.989
Germany,EUR,6.965,50841.666,81,83.783
Ghana,AFR,4.657,1779.893,62.4,31.072
Greece,EUR,5.358,21144.184,81,10.423
Guatemala,AMER,6.382,4770.736,71.9,17.915
Guinea,AFR,3.964,816.45,59,13.132
Haiti,AMER,3.582,847.091,63.5,11.402
Honduras,AMER,5.504,2851.21,74.6,9.904
Hong Kong,ASIAP,5.43,48829.217,84.3,7.496
Hungary,EUR,5.62,16722.598,75.9,9.66
Iceland,EUR,7.495,84675.408,82.7,0.341
India,ASIAP,4.19,2134.752,68.3,1380.004
Indonesia,ASIAP,5.093,4051.65,69.1,273.523
Iran,ME,4.707,5085.909,75.5,83.992
Iraq,ME,4.456,5601.469,68.9,40.222
Ireland,EUR,6.977,80641.171,81.4,4.937
Israel,ME,7.19,42115.329,82.5,8.655
Italy,EUR,6,35913.826,82.7,60.461
Ivory Coast,AFR,4.671,1879.904,53.5,26.38
Jamaica,AMER,5.89,5334.535,76.2,2.961
Japan,ASIAP,5.915,40849.21,83.7,126.476
Jordan,ME,5.161,5837.503,74.1,10.203
Kazakhstan,ASIAP,5.79,9708.82,70.2,18.776
Kenya,AFR,4.41,1837.71,63.4,53.771
Kosovo,EUR,5.662,4412.08,71.4,1.873
Kuwait,ME,6.083,29879.781,74.7,4.27
Kyrgyzstan,ASIAP,5.131,1187.714,71.1,6.524
Laos,ASIAP,4.623,2705.899,65.7,7.275
Latvia,EUR,5.933,18472.193,74.6,1.886
Lebanon,ME,5.199,11775.155,74.9,6.825
Lesotho,AFR,3.808,1499.096,53.7,2.142
Liberia,AFR,3.495,722.263,61.4,5.507
Libya,AFR,5.566,6699.897,72.7,6.871
Lithuania,EUR,5.952,19534.021,73.6,2.722
Luxembourg,EUR,6.91,120060.558,82,0.625
Macedonia,EUR,5.185,6295.11,75.7,2.083
Madagascar,AFR,3.774,479.047,65.5,27.691
Malawi,AFR,3.587,342.061,58.3,19.129
Malaysia,ASIAP,6.322,11237.421,75,32.365
Mali,AFR,4.447,917.479,58.2,20.25
Malta,EUR,6.627,31847.59,81.7,0.441
Mauritania,AFR,4.356,1368.99,63.1,4.649
Mauritius,ASIAP,5.891,10437.074,74.6,1.271
Mexico,AMER,6.488,9723.043,76.7,128.932
Moldova,EUR,5.64,2596.435,72.1,4.033
Mongolia,ASIAP,5.125,4029.339,68.8,3.278
Montenegro,EUR,5.347,8898.152,76.1,0.628
Morocco,AFR,5.254,3435.475,74.3,36.91
Mozambique,AFR,4.417,472.044,57.6,31.255
Myanmar,ASIAP,4.308,1338.488,66.6,54.409
Namibia,AFR,4.441,5627.102,65.8,2.54
Nepal,ASIAP,4.88,918.986,69.2,0.01
Netherlands,EUR,7.441,55185.49,81.9,17.134
New Zealand,ASIAP,7.324,44639.124,81.6,4.822
Nicaragua,AMER,6.141,2309.74,74.8,6.624
Niger,AFR,4.166,510.323,61.8,24.206
Nigeria,AFR,5.155,2107.61,54.5,206.139
Northern Cyprus,EUR,5.835,15109,74.1,0.326
Norway,EUR,7.594,82710.715,81.8,5.421
Pakistan,ASIAP,5.472,1629,66.4,220.892
Palestinian Territories,ME,4.743,2900,73.1,4.5
Panama,AMER,6.43,16040.894,77.8,4.314
Paraguay,AMER,5.681,4578.328,74,7.132
Peru,AMER,5.663,7198.64,75.5,32.971
Philippines,ASIAP,5.524,3095.117,68.5,109.581
Poland,EUR,6.123,16179.549,77.5,37.846
Portugal,EUR,5.41,24236.542,81.1,10.196
Qatar,ME,6.374,66202.094,78.2,2.881
Romania,EUR,5.945,12575.439,75,19.237
Russia,EUR,5.81,11946.653,70.5,145.934
Rwanda,AFR,3.408,819.652,66.1,12.952
Saudi Arabia,ME,6.371,22649.613,74.5,34.813
Senegal,AFR,4.631,1208.518,66.7,16.743
Serbia,EUR,5.398,6895.017,75.6,8.737
Sierra Leone,AFR,4.571,505.101,50.1,7.976
Singapore,ASIAP,6.343,61766.818,83.1,5.85
Slovakia,EUR,6.173,20508.065,76.7,5.459
Slovenia,EUR,5.948,27535.862,80.8,2.078
Somalia,AFR,4.982,600,55,15.893
South Africa,AFR,4.724,6459.171,62.9,59.308
South Korea,ASIAP,5.875,32774.537,82.3,51.269
South Sudan,AFR,3.254,246.164,57.3,11.193
Spain,EUR,6.31,32559.297,82.8,46.754
Sri Lanka,ASIAP,4.471,4309.09,74.9,21.413
Sudan,AFR,4.139,992.652,64.1,43.849
Sweden,EUR,7.314,58345.457,82.4,10.099
Switzerland,EUR,7.487,86835.128,83.4,8.654
Syria,ME,3.462,2802,64.5,17.5
Taiwan ,ASIAP,6.441,25977.238,77.9,23.816
Tajikistan,ASIAP,5.352,848.958,69.7,9.537
Tanzania,AFR,3.303,1110.05,61.8,59.734
Thailand,ASIAP,6.072,6992.229,74.9,69.799
Togo,AFR,3.999,698.682,59.9,8.278
Trinidad & Tobago,AMER,6.192,16083.436,71.2,1.399
Tunisia,AFR,4.592,3462.822,75.3,11.818
Turkey,EUR,5.483,11114.258,75.8,84.339
Turkmenistan,ASIAP,5.636,7340.72,66.3,6.031
Uganda,AFR,4.161,711.338,62.3,45.741
Ukraine,EUR,4.103,2820.606,71.3,43.733
United Arab Emirates,ME,6.774,39483.545,77.1,9.9
United Kingdom,EUR,6.814,44177.497,81.2,9.89
United States,AMER,6.886,62152.073,79.3,331.002
Uruguay,AMER,6.379,18074.859,77,3.473
Uzbekistan,ASIAP,6.096,1238.215,69.4,33.469
Venezuela,AMER,4.806,3168.413,74.1,28.435
Vietnam,ASIAP,5.103,2545.909,76,87.338
Yemen,AFR,3.355,449.115,65.7,29.825
Zambia,AFR,4.377,1475.733,61.8,18.383
Zimbabwe,AFR,3.692,1270.724,60.7,14.862
